Date,Adj Close,Adj Close - Dow Jones,Adj Close – NASDAQ,Spx – Adj Close,Adj Close IEF,Adj Close SHY,Adj Close TIP,CWSR0000SA0,INDPRO,IR3TIB01USM156N,Brent,Crude Oil,Gold,Natural gas,S&P GSCI
1973-09-01,94.790001,,,,,,,45.4,45.6148,10.59,,,,,
1973-10-01,95.059998,,,,,,,45.8,45.9627,9.2,,,,,
1973-11-01,100.349998,,,,,,,46.2,46.1781,9.24,,,,,
1973-12-01,102.389999,,,,,,,46.5,46.0553,9.27,,,,,
1974-01-01,105.900002,,,,,,,47,45.7415,9,,,,,
1974-02-01,103.029999,,,,,,,47.6,45.6029,8.08,,,,,
1974-03-01,99.510002,,,,,,,48.1,45.6093,8.84,,,,,
1974-04-01,98.489998,,,,,,,48.3,45.4865,10.25,,,,,
1974-05-01,99.769997,,,,,,,48.8,45.8299,11.2,,,,,
1974-06-01,100.160004,,,,,,,49.2,45.7552,11.38,,,,,
1974-07-01,100.540001,,,,,,,49.6,45.828,12.25,,,,,
1974-08-01,103.18,,,,,,,50.2,45.3423,12.23,,,,,
1974-09-01,102.480003,,,,,,,50.9,45.3551,11.6,,,,,
1974-10-01,101.260002,,,,,,,51.3,45.2077,9.78,,,,,
1974-11-01,99.57,,,,,,,51.8,43.7312,9.09,,,,,
1974-12-01,97.290001,,,,,,,52.2,42.1667,9.23,,,,,
1975-01-01,95.610001,,,,,,,52.6,41.588,7.48,,,,,
1975-02-01,93,,,,,,,52.9,40.6296,6.41,,,,,
1975-03-01,94.82,,,,,,,53.1,40.1811,6.18,,,,,
1975-04-01,95.389999,,,,,,,53.3,40.26,6.26,,,,,
1975-05-01,94.629997,,,,,,,53.4,40.1391,5.79,,,,,
1975-06-01,95.860001,,,,,,,53.8,40.3939,5.82,,,,,
1975-07-01,101.25,,,,,,,54.3,40.791,6.55,,,,,
1975-08-01,101.790001,,,,,,,54.5,41.2089,6.87,,,,,
1975-09-01,104.239998,,,,,,,54.9,41.7455,7.03,,,,,
